Date,Adj Close,Close,High,Low,Open,Volume,News
2009-07-27,17.53008460998535,29.360687255859375,29.751907348632812,29.026718139648438,29.694656372070312,21026758.0,"Wall Street News Alert:  Stocks This Morning: Green Star Alternative Energy -- July 27, 2009"
2009-07-28,17.10280418395996,28.645038604736328,29.494274139404297,28.4064884185791,29.303434371948242,23627265.0,
2009-07-29,17.017343521118164,28.501907348632812,28.75954246520996,28.158397674560547,28.635496139526367,16696736.0,
2009-07-30,17.057222366333008,28.568702697753906,29.55152702331543,28.511449813842773,28.826335906982422,24300290.0,
2009-07-31,17.097105026245117,28.635496139526367,29.17938995361328,28.540075302124023,28.81679344177246,16269362.0,
2009-08-01,17.0990047454834,28.63867696126302,29.144402186075848,28.482823689778645,28.896310170491535,16279003.333333334,
2009-08-02,17.10090446472168,28.641857782999676,29.10941441853841,28.42557207743327,28.975826899210613,16288644.666666666,
2009-08-03,17.10280418395996,28.645038604736328,29.074426651000977,28.36832046508789,29.055343627929688,16298286.0,
2009-08-04,17.00025177001953,28.473281860351562,28.883588790893555,28.129770278930664,28.75954246520996,16077892.0,
2009-08-05,16.869216918945312,28.253816604614258,28.797710418701172,27.996183395385742,28.501907348632812,13375100.0,
2009-08-06,16.726787567138672,28.01526641845703,28.32061004638672,27.91030502319336,28.32061004638672,11499494.0,
2009-08-07,17.148378372192383,28.72137451171875,29.103052139282227,28.101144790649414,28.3492374420166,13656278.0,"ParagonReport.com Complimentary Market Update on Alumina Ltd. (NYSE: AWC), CSB Corporation (NYSE: CBS), Merck & Co. Inc. (NYSE: MRK) and NVIDIA Corporation (NASDAQ: NVDA)"
2009-08-08,17.2433287302653,28.880407333374023,29.26208559672038,28.311068216959637,28.533715565999348,15454506.333333334,
2009-08-09,17.338279088338215,29.039440155029297,29.421119054158527,28.520991643269856,28.718193689982098,17252734.666666668,
2009-08-10,17.433229446411133,29.19847297668457,29.58015251159668,28.730915069580078,28.902671813964844,19050963.0,"ParagonReport.com Complimentary Market Update on Freddie Mac (NYSE: FRE), Best Buy Co. Inc. (NYSE: BBY), American Express Company (NYSE: AXP), and Merck & Co. Inc. (NYSE: MRK)"
2009-08-11,17.27941131591797,28.940839767456055,29.370229721069336,28.769084930419922,29.064884185791016,11423829.0,
2009-08-12,17.51300048828125,29.332061767578125,29.57061004638672,28.625953674316406,28.950382232666016,12899518.0,
2009-08-13,17.649730682373047,29.56106948852539,29.56106948852539,27.375953674316406,29.322519302368164,14137939.0,
2009-08-14,17.649730682373047,29.56106948852539,29.666030883789062,29.12213706970215,29.58015251159668,16942178.0,
