Date,Adj Close,Close,High,Low,Open,Volume,News,trend_1d,log_returns,volatility_5d,DistRoBERTa_sentiment_scores,DistRoBERTa_sentiment_vector,DistRoBERTa_adjusted_score,DistRoBERTa_raw_score,DistRoBERTa_predictions,FinBERT_sentiment_scores,FinBERT_sentiment_vector,FinBERT_adjusted_score,FinBERT_raw_score,FinBERT_predictions,DeBERTa_sentiment_scores,DeBERTa_sentiment_vector,DeBERTa_adjusted_score,DeBERTa_raw_score,DeBERTa_predictions
2010-01-20,22.27155303955078,30.6299991607666,31.239999771118164,30.350000381469727,30.76000022888184,21198800.0,"4Q Profit For Morgan Stanley (MS) After Huge Losses In 2008 (MS, C) | U.S Futures Slip Despite Optimism in the Economy (BAC, MS, WFC) | Company News for January 20, 2010 - Corporate Summary | Top 5 Stocks To Focus On Today (MS, BAC, MTB, EBAY, SBUX) | Banks Paid A TARP Premium (GS, MS)",-0.042115541740890605,,,"[{'label': 'negative', 'score': 0.9974154233932495}, {'label': 'positive', 'score': 0.002073785522952676}, {'label': 'neutral', 'score': 0.0005108285695314407}]","(0.0005108285695314407, 0.002073785522952676, 0.9974154233932495)",-0.9958503093290995,-0.9974154233932495,0,"[{'label': 'negative', 'score': 0.9205395579338074}, {'label': 'positive', 'score': 0.06259889155626297}, {'label': 'neutral', 'score': 0.016861604526638985}]","(0.016861604526638985, 0.06259889155626297, 0.9205395579338074)",-0.8726549824417273,-0.9205395579338074,0,"[{'label': 'negative', 'score': 0.9512690305709839}, {'label': 'positive', 'score': 0.04093164950609207}, {'label': 'neutral', 'score': 0.007799288723617792}]","(0.007799288723617792, 0.04093164950609207, 0.9512690305709839)",-0.9174932040907039,-0.9512690305709839,0
2010-01-21,21.33358192443848,29.34000015258789,30.549999237060547,28.239999771118164,30.290000915527344,56774400.0,"Take a stand already! | J.P. Morgan Getting Crushed! (JPM) | MS Faces Relatively Easy Year-Over-Year Comparables For 2010 | Company News for January 21, 2010 - Corporate Summary | Stock Market News for January 21, 2010 - Market News | Insight Into Goldman Sachs Earnings...What Main Street Should Be Worried About | Benzinga’s Top Downgrades (BSX, NI, BBI, MS) | President Obama To Announce Sweeping Banking Changes | Earnings Round-up For January 20 (MS, BK, NTRS, COH, STT, SLM, PGR, MI, HCBK, MTB, EBAY, SBUX, STX)",-0.05248810182407282,-0.04302811553010367,,"[{'label': 'negative', 'score': 0.8373393416404724}, {'label': 'positive', 'score': 0.16134312748908997}, {'label': 'neutral', 'score': 0.0013174621853977442}]","(0.0013174621853977442, 0.16134312748908997, 0.8373393416404724)",-0.6768880350333688,-0.8373393416404724,0,"[{'label': 'neutral', 'score': 0.7586398720741272}, {'label': 'negative', 'score': 0.14084140956401825}, {'label': 'positive', 'score': 0.10051871091127396}]","(0.7586398720741272, 0.10051871091127396, 0.14084140956401825)",-0.16706446190588511,-0.14084140956401825,0,"[{'label': 'negative', 'score': 0.878955602645874}, {'label': 'neutral', 'score': 0.10720203071832657}, {'label': 'positive', 'score': 0.013842372223734856}]","(0.10720203071832657, 0.013842372223734856, 0.878955602645874)",-0.9689910313119684,-0.878955602645874,0
2010-01-22,20.213823318481445,27.799999237060547,29.18000030517578,27.420000076293945,28.649999618530277,46713700.0,"Joe Terranova Believes In JPM And BAC | Market Round-up (GS, AMR, LUV, FCX, AA, POT, BNS, MS, CVC, SNI) | Novartis' MS Therapy Advances - Analyst Blog | Stock Market News for January 22, 2010 - Market News | Widening Of Corporate Spreads As Obama Plans To Curb Trading By Banks (BAC, MS, UBS)  | Hedge Fund Clients To Get Capital Raised By Morgan Stanley (MS)  | Benzinga's Daily Hedge Fund Briefing - January 22: Morgan Stanley To Raise Capital; Goldman To Wind Down  ",-0.0007194180766065816,-0.05391578466278785,,"[{'label': 'positive', 'score': 0.9665370583534241}, {'label': 'neutral', 'score': 0.032930776476860046}, {'label': 'negative', 'score': 0.0005321380449458957}]","(0.032930776476860046, 0.9665370583534241, 0.0005321380449458957)",0.9988994830009523,0.9665370583534241,0,"[{'label': 'neutral', 'score': 0.7883796095848083}, {'label': 'positive', 'score': 0.10613200813531876}, {'label': 'negative', 'score': 0.10548839718103409}]","(0.7883796095848083, 0.10613200813531876, 0.10548839718103409)",0.0030413463830320587,0.10613200813531876,0,"[{'label': 'positive', 'score': 0.5300230979919434}, {'label': 'neutral', 'score': 0.46734514832496643}, {'label': 'negative', 'score': 0.002631726209074259}]","(0.46734514832496643, 0.5300230979919434, 0.002631726209074259)",0.990118455369209,0.5300230979919434,0
2010-01-23,20.19927978515625,27.779999415079757,28.96000035603841,27.400000254313152,28.50666618347168,38176100.0,,-0.0007199360115874853,-0.0007196769819726367,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0
2010-01-24,20.18473625183105,27.75999959309896,28.740000406901043,27.38000043233236,28.36333274841309,29638500.0,,-0.0007204546928656352,-0.0007201952899679064,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0
2010-01-25,20.17019271850586,27.739999771118164,28.520000457763672,27.36000061035156,28.21999931335449,21100900.0,"Acorda Drug Gets FDA Clearance - Analyst Blog | Slimmer Wall Street Bonuses Present Buying Opportunities (GS, C, JPM, MS) | HSBC (HBC) To Invest In Electric Car Project | Wall Street Companies Slash Pay Under Pressure From Washington (MS, JPM, GS) | Barclays (BCS) To Defer Bonuses Up To 3 Years | RiskMetrics (RMG) Under The Hammer, Interactive (IDC) May Follow Suit",-0.014780095558579953,-0.0007207143450671264,0.41966587305076053,"[{'label': 'positive', 'score': 0.5912564992904663}, {'label': 'negative', 'score': 0.4038435220718384}, {'label': 'neutral', 'score': 0.004899919498711824}]","(0.004899919498711824, 0.5912564992904663, 0.4038435220718384)",0.1883358187070051,0.5912564992904663,1,"[{'label': 'negative', 'score': 0.3898220956325531}, {'label': 'positive', 'score': 0.3163920044898987}, {'label': 'neutral', 'score': 0.2937858998775482}]","(0.2937858998775482, 0.3163920044898987, 0.3898220956325531)",-0.10397709579845862,-0.3898220956325531,1,"[{'label': 'neutral', 'score': 0.5373097658157349}, {'label': 'positive', 'score': 0.40910178422927856}, {'label': 'negative', 'score': 0.05358847230672836}]","(0.5373097658157349, 0.40910178422927856, 0.05358847230672836)",0.7683613538442512,0.40910178422927856,0
2010-01-26,19.8720817565918,27.32999992370605,28.290000915527344,27.209999084472656,27.68000030517578,24376400.0,More Checks for Biogen's Tysabri - Analyst Blog | E.I. DuPont De Nemours & Company (DD) Update | MS And Orascom Construction Industries Form Infrastructure JV | Markets May Crash: JPMorgan (JPM) At Risk | Joe Terranova Is Bullish On Oil,0.022685724147976094,-0.014890409487323899,0.3657115380022075,"[{'label': 'negative', 'score': 0.9865782856941223}, {'label': 'neutral', 'score': 0.012315057218074799}, {'label': 'positive', 'score': 0.0011065587168559432}]","(0.012315057218074799, 0.0011065587168559432, 0.9865782856941223)",-0.9977592878474999,-0.9865782856941223,0,"[{'label': 'negative', 'score': 0.7203524708747864}, {'label': 'neutral', 'score': 0.18587374687194824}, {'label': 'positive', 'score': 0.09377379715442657}]","(0.18587374687194824, 0.09377379715442657, 0.7203524708747864)",-0.7696332845728503,-0.7203524708747864,0,"[{'label': 'neutral', 'score': 0.5900106430053711}, {'label': 'negative', 'score': 0.3439072072505951}, {'label': 'positive', 'score': 0.06608209758996964}]","(0.5900106430053711, 0.06608209758996964, 0.3439072072505951)",-0.6776398954325532,-0.3439072072505951,0
2010-01-27,20.360132217407227,27.950000762939453,28.11000061035156,26.90999984741211,27.34000015258789,31041900.0,"Benzinga’s Top Upgrades (MS, BBY, VPFG, CBE, VCBI)",-0.01645799568031614,0.022432229749295172,0.21308145249972107,"[{'label': 'neutral', 'score': 0.9863588213920593}, {'label': 'positive', 'score': 0.013474336825311184}, {'label': 'negative', 'score': 0.00016688650066498667}]","(0.9863588213920593, 0.013474336825311184, 0.00016688650066498667)",0.9755320330622849,0.013474336825311184,0,"[{'label': 'neutral', 'score': 0.8449452519416809}, {'label': 'positive', 'score': 0.1463206261396408}, {'label': 'negative', 'score': 0.008734102360904217}]","(0.8449452519416809, 0.1463206261396408, 0.008734102360904217)",0.8873416832189865,0.1463206261396408,0,"[{'label': 'positive', 'score': 0.9906086921691895}, {'label': 'neutral', 'score': 0.009017434902489185}, {'label': 'negative', 'score': 0.0003738938248716295}]","(0.009017434902489185, 0.9906086921691895, 0.0003738938248716295)",0.9992454078807115,0.9906086921691895,0
2010-01-28,20.025041580200195,27.489999771118164,28.25,27.1200008392334,28.200000762939453,25480700.0,,-0.025827540574176466,-0.016594933046538526,0.24839093583300895,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1
2010-01-29,19.507856369018555,26.780000686645508,27.850000381469727,26.649999618530277,27.82999992370605,21166100.0,Media Stocks to Face Tough 2010: Analyst Says On CNBC,0.009708722420930016,-0.026166927947889156,0.29985607061386654,"[{'label': 'negative', 'score': 0.995826005935669}, {'label': 'neutral', 'score': 0.0036238019820302725}, {'label': 'positive', 'score': 0.0005502738640643656}]","(0.0036238019820302725, 0.0005502738640643656, 0.995826005935669)",-0.9988954496906028,-0.995826005935669,0,"[{'label': 'neutral', 'score': 0.7868789434432983}, {'label': 'negative', 'score': 0.11490757763385773}, {'label': 'positive', 'score': 0.09821342676877975}]","(0.7868789434432983, 0.09821342676877975, 0.11490757763385773)",-0.07833179517837977,-0.11490757763385773,1,"[{'label': 'negative', 'score': 0.9956632256507874}, {'label': 'neutral', 'score': 0.003783766645938158}, {'label': 'positive', 'score': 0.0005530377384275198}]","(0.003783766645938158, 0.0005530377384275198, 0.9956632256507874)",-0.9988897235294151,-0.9956632256507874,0
