Date,Adj Close,Close,High,Low,Open,Volume,News,trend_1d,log_returns,volatility_5d,DistRoBERTa_sentiment_scores,DistRoBERTa_sentiment_vector,DistRoBERTa_adjusted_score,DistRoBERTa_raw_score,DistRoBERTa_adjusted_predictions,DistRoBERTa_raw_predictions,FinBERT_sentiment_scores,FinBERT_sentiment_vector,FinBERT_adjusted_score,FinBERT_raw_score,FinBERT_adjusted_predictions,FinBERT_raw_predictions,DeBERTa_sentiment_scores,DeBERTa_sentiment_vector,DeBERTa_adjusted_score,DeBERTa_raw_score,DeBERTa_adjusted_predictions,DeBERTa_raw_predictions
2018-10-31,44.28277206420898,58.401161193847656,59.2829475402832,57.90697860717773,59.08914566040039,5005716.0,"Realty Income Raises FY2018 EPS Guidance from $3.16-3.21 to $3.18-3.21 | Realty Income Q3 EPS $0.81 Beats $0.33 Estimate, Sales $338.081M Beat $334.44M Estimate",0.015264690962756884,,,"[{'label': 'positive', 'score': 0.9995681643486023}, {'label': 'negative', 'score': 0.0002349494898226112}, {'label': 'neutral', 'score': 0.0001968635042430833}]","(0.0001968635042430833, 0.9995681643486023, 0.0002349494898226112)",0.9995300084855295,0.9995681643486023,0,0,"[{'label': 'positive', 'score': 0.9323432445526123}, {'label': 'negative', 'score': 0.03533736988902092}, {'label': 'neutral', 'score': 0.03231942653656006}]","(0.03231942653656006, 0.9323432445526123, 0.03533736988902092)",0.9269648076821067,0.9323432445526123,0,0,"[{'label': 'positive', 'score': 0.9989162683486938}, {'label': 'neutral', 'score': 0.0006358317332342267}, {'label': 'negative', 'score': 0.00044795559369958937}]","(0.0006358317332342267, 0.9989162683486938, 0.00044795559369958937)",0.9991035188513504,0.9989162683486938,0,0
2018-11-01,44.958744049072266,59.29263687133789,59.42829513549805,57.70348739624024,58.401161193847656,2543467.0,,-0.015198598950834412,0.015149357770398391,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2018-11-02,44.27542495727539,58.39147186279297,59.32170486450195,57.52907180786133,59.17635726928711,2773397.0,,0.006693223624734713,-0.015315281439097843,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2018-11-03,44.57176844278971,58.78229904174805,59.49935404459635,57.84883880615234,58.97286860148112,2502772.0,,0.0066487222399638874,0.0066709234548675295,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2018-11-04,44.86811192830404,59.173126220703125,59.67700322469076,58.16860580444336,58.76937993367513,2232147.0,,0.0066048087014597846,0.00662671697035096,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2018-11-05,45.16445541381836,59.5639533996582,59.85465240478516,58.488372802734375,58.56589126586914,1961522.0,Realty Income Corp Files for Potential Mixed Shelf Offering; Size Not Disclosed -,0.001464103525907895,0.006583092520835752,0.18066240493849453,"[{'label': 'neutral', 'score': 0.9998825788497925}, {'label': 'negative', 'score': 7.47014200896956e-05}, {'label': 'positive', 'score': 4.261533831595443e-05}]","(0.9998825788497925, 4.261533831595443e-05, 7.47014200896956e-05)",-0.27349955973720363,-7.47014200896956e-05,1,1,"[{'label': 'neutral', 'score': 0.930160403251648}, {'label': 'positive', 'score': 0.03531988710165024}, {'label': 'negative', 'score': 0.0345197357237339}]","(0.930160403251648, 0.03531988710165024, 0.0345197357237339)",0.011456983092776818,0.03531988710165024,1,1,"[{'label': 'neutral', 'score': 0.9992808699607849}, {'label': 'positive', 'score': 0.0006036862614564598}, {'label': 'negative', 'score': 0.00011547614121809602}]","(0.9992808699607849, 0.0006036862614564598, 0.00011547614121809602)",0.6788593486293452,0.0006036862614564598,0,1
2018-11-06,45.230594635009766,59.651161193847656,59.738372802734375,59.14728546142578,59.58333206176758,1913947.0,,0.011858393519962724,0.00146303277134363,0.15084572883382613,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1
2018-11-07,45.766937255859375,60.35852813720703,60.36821746826172,59.39922332763672,59.68992233276367,1917456.0,,0.003050252214771429,0.011788633722713117,0.05795438890786527,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1
2018-11-08,45.90653610229492,60.54263687133789,60.56201553344727,59.796512603759766,60.27131652832031,1689590.0,"Stocks Which Set New 52-Week High Yesterday, Wed., Nov. 7, 2018",0.004481412477902152,0.0030456096337841305,0.06325197239890293,"[{'label': 'positive', 'score': 0.9837575554847717}, {'label': 'neutral', 'score': 0.015695905312895775}, {'label': 'negative', 'score': 0.0005465478752739727}]","(0.015695905312895775, 0.9837575554847717, 0.0005465478752739727)",0.9988894735409346,0.9837575554847717,0,0,"[{'label': 'neutral', 'score': 0.583005428314209}, {'label': 'positive', 'score': 0.3773866891860962}, {'label': 'negative', 'score': 0.03960788995027542}]","(0.583005428314209, 0.3773866891860962, 0.03960788995027542)",0.8100316314312457,0.3773866891860962,0,1,"[{'label': 'positive', 'score': 0.9719803333282471}, {'label': 'neutral', 'score': 0.027117788791656494}, {'label': 'negative', 'score': 0.0009019311983138323}]","(0.027117788791656494, 0.9719803333282471, 0.0009019311983138323)",0.9981458574563434,0.9719803333282471,0,0
2018-11-09,46.11228561401367,60.8139533996582,61.00775146484375,60.319766998291016,60.41666793823242,1512809.0,"Stocks Which Set New 52-Week High Yesterday, Thurs., Nov. 8, 2018",0.0006904606923438059,0.004471400848686805,0.06354502332685684,"[{'label': 'positive', 'score': 0.9814429879188538}, {'label': 'neutral', 'score': 0.018013183027505875}, {'label': 'negative', 'score': 0.0005438848747871816}]","(0.018013183027505875, 0.9814429879188538, 0.0005438848747871816)",0.9988922766895246,0.9814429879188538,0,0,"[{'label': 'neutral', 'score': 0.7712124586105347}, {'label': 'positive', 'score': 0.19311858713626862}, {'label': 'negative', 'score': 0.035668984055519104}]","(0.7712124586105347, 0.19311858713626862, 0.035668984055519104)",0.6881912433467064,0.19311858713626862,0,1,"[{'label': 'positive', 'score': 0.9635855555534363}, {'label': 'neutral', 'score': 0.0354340635240078}, {'label': 'negative', 'score': 0.0009803675347939134}]","(0.0354340635240078, 0.9635855555534363, 0.0009803675347939134)",0.997967235807678,0.9635855555534363,0,0
